CHILDID,S1_ID,S2_ID,S3_ID,S4_ID,S5_ID,S6_ID,S7_ID,KURBAN_R,GENDER,RACE,C1R4MSCL,C2R4MSCL,C3R4MSCL,C4R4MSCL,C5R4MSCL,C6R4MSCL,C7R4MSCL,W1SESL,W3SESL,W5SESL,S2PUBLIC
0001001C,0001,0001, ,0002, , , ,1,2,1,39.54,50.1, ,96.04, , , ,1.76, , ,1
0001002C,0001,0001, ,6005,6005,A053,C001,1,2,1,44.44,58.93, ,76.33,124.61,152.24,168.77,1.43,1.37,1.53,1
0001003C,0001,0001, ,9997,9997, , ,1,2,1,28.57,32.81, , , , , ,1.61,1.48, ,1
0001004C,0001,0001, ,6009,6009, , ,1,1,1,26.62,34.37, ,79.47,114.38, , ,1.04,.46, ,1
0001005C,0001,0001, ,0003,7197, , ,1,2,1,40.88,38.86, ,64.08,105.4, , ,2.04, , ,1
0001006C,0001,0001, ,6026,6026, , ,1,1,1,23.57,35.25, ,45.41,112.87, , ,1.44,1.41, ,1
0001007C,0001,0001, ,6027,6027,6027,C009,1,1,1,19.65,23.6, ,38.54,71.98,107.99,127.15,.59,.51,.48,1
0001008C,0001,0001, ,9997,9997,9997,D245,1,2,8,36.27,53.31, , , , ,166.67,1.82,1.42,1.38,1
0001009C,0001,0001, ,5569,5569, , ,1,1,1,20.82,29.09, ,45.47,64.64, , ,-.53,-.33, ,1
0001010C,0001,0001, ,0002,0002,A053,C001,1,2,1,26.85,32.22, ,61.06,110.49,134.9,143.01,1.39,1.24,1.28,1
0001011C,0001,0001, ,0007,0007, , ,1,2,1,47.36,59.89, ,100.46,135.97, , ,.95,.94, ,1
0001012C,0001,0001, ,6028,6028, , ,1,1,1,62.32,78.65, ,112.37,156.89, , ,2.44,2.04, ,1
0001013C,0001,0001, ,6027,6027, , ,1,1,1,22.27,27.44, ,73.09,114.79, , ,.75,.47, ,1
0001014C,0001,0001, ,9997,9997, , ,1,1,1,32.57, , , , , , ,1.61,1.48, ,1
0002002C,0002,0006, , , , , ,1,1,1,15.97,21.97, , , , , , , , ,1
0002003C,0002,0002, ,0002,0002,A053,C001,1,1,1,40.94,48.69, ,68.88,115.59,133.67,156.67,-1.25,-.51,-.07,1
0002004C,0002,0002, ,0002,0002,A053,C001,1,2,1,33.26,35.24, ,66.84,107.17,141.27,165.81,.62,.48,.46,1
0002005C,0002,0002, ,0002,0002, , ,1,2,3,20.32,28.91, ,63.66,85.86, , ,-.58,-1.68, ,1
0002006C,0002,0002, ,0002,0002,A053,C001,1,2,1,20.23,31.35, ,56.75,99.25,115.4,142.62,-.54,-.95,-.82,1
0002007C,0002,0002, , , , , ,1,2,1,23.7,31.04, , , , , , , , ,1
0002008C,0002,0002, ,0002,0002,A053,C001,1,2,1,18.64,25.58, ,43.55,70.11,80.16,134,-.37,-.57,-.36,1
0002009C,0002, , , , , , ,1,1,1,22.53, , , , , , , , , ,1
0002010C,0002,0002, ,0002,0002, , ,1,1,1,20.27,23.57, ,48.38,86.5, , ,-.33,.24, ,1
0002011C,0002,0002, ,0002,0002,A053, ,1,1,1,25.83,34.26, ,48.84,104.92,130.05, ,-.6,-.69,-.7,1
0002012C,0002,0002, ,0002,0002, , ,1,2,8,22.93,32.67, ,53.35,89.95, , ,-.82,.51, ,1
0002013C,0002,0002, , , , , ,1,1,1,21.4,30.99, , , , , , , , ,1
0002014C,0002,0002, ,0002, , , ,1,1,1,13.92,18.8, ,33.66, , , ,-.54, , ,1
0002015C,0002,0002, , , , , ,1,2,1,34.63,40.13, , , , , , , , ,1
0002016C,0002,0002, , , , , ,1,1,1,33.24,37.2, , , , , , , , ,1
0002017C,0002,0002, , , , , ,1,2,1,29.9,39.68, , , , , , , , ,1
0002018C,0002,0002, ,0002,0002,A053,C002,1,2,1,25.87,46.5, ,58.74,116.75,132.85,142.11,-.33,-.22,-.13,1
0002019C,0002,0002, ,0002,0002,A053,C003,1,1,1,27.04,42.97, ,76.49,124.62,140.66,155.96,.81,-1.1,.99,1
0002020C,0002,0002, ,0002, , , ,1,1,1,30.43,33.61, ,58.9, , , , , , ,1
0002021C,0002,0002, ,0002, , , ,1,2,1,25.25,38.75, ,61.21, , , ,-2.31, , ,1
0002022C,0002,0002, ,0002,0002,A053,C001,1,2,1,44.52,53.18, ,93.95,117.31,155.59,169.21,-.58,-.42,.15,1
0002023C,0002,0002, ,0002, , , ,1,1,8,21.08,33.25, ,66.35, , , ,-.14, , ,1
0002024C,0002,0002, ,0002,0002,A053,C001,1,2,1,24.71,35.71, ,54.54,84.64,120.62,138.57,-.19,-.14,-.17,1
0005001C,0005,0005, , , , , ,1,1,5,32.3,51.85, , , , , , , , ,1
0005002C,0005,0005, , , , , ,1,1,3,20.98,28.5, , , , , , , , ,1
0005003C,0005,0005, , , , , ,1,2,1, , , , , , , , , , ,1
0005004C,0005,0005, ,0005,0005,0005,C002,1,2,3,18.14,34.73, ,60.58,88.3,117.13,150.21,-1.84,-1.04,-.72,1
0005005C,0005,0005, ,0005, , , ,1,2,1,29.41,46.53, ,56.01, , , ,-.61, , ,1
