S_ID,CREGION,CS_TYPE2,KURBAN_R,S2KENRLS,S2KPUPRI
0001,1,3,1,1,1
0002,1,4,1,2,1
0005,1,4,1,2,1
0006,1,4,1,5,1
0007,1,1,1,2,2
0009,1,4,3,2,1
0010,1,4,3,3,1
0011,1,4,3,3,1
0013,1,3,3,1,2
0014,1,4,3,1,1
0015,1,4,3,1,1
0016,1,4,3,1,1
0020,1,4,3,2,1
0021,1,4,3,1,1
0022,1,4,3,3,1
0023,1,4,3,4,1
0024,1,3,3,1,2
0028,1,1,3,1,2
0029,1,4,3,3,1
0032,1,4,2,2,1
0033,1,4,2,4,1
0034,1,4,1,2,1
0035,1,3,1,1,2
0036,1,4,1,5,1
0039,1,3,2,1,2
0041,1,2,1,1,2
0043,1,4,1,4,1
0044,1,4,2,3,1
0045,1,4,2,4,1
0046,1,4,1,2,1
0047,1,4,2,2,1
0048,1,3,2,1,2
0049,1,4,1,2,1
0050,1,4,1,2,1
0051,1,1,1,2,2
0052,1,1,1,2,2
0053,1,4,3,4,1
0055,1,4,2,4,1
0056,1,4,2,3,1
0057,1,4,3,4,1
0058,1,1,2,2,2
0062,1,4,1,4,1
0064,1,4,1,4,1
0066,1,4,2,4,1
0067,1,1,1,3,2
0069,1,3,2,2,2
0070,1,4,2,4,1
0072,1,2,1,2,2
0073,1,4,2,3,1
0075,1,4,2,3,1
0077,1,1,1,4,2
0081,1,4,2,4,1
0083,1,4,2,3,1
0084,1,4,2,5,1
0085,1,1,2,3,2
0086,1,4,2,2,1
0088,1,3,2,1,2
0089,1,4,2,3,1
0091,1,3,2,3,2
0093,1,4,2,4,1
0095,1,4,2,3,1
0097,1,2,1,2,2
0099,1,4,1,5,1
0101,1,4,1,5,1
0104,1,1,1,3,2
0105,1,4,1,2,1
0110,1,4,1,5,1
0115,1,4,1,3,1
0116,1,4,1,4,1
0118,1,4,1,5,1
0119,1,1,1,2,2
0120,1,1,1,3,2
0121,1,3,1,1,2
0122,1,1,3,3,2
0128,1,4,2,5,1
0131,1,4,1,4,1
0132,1,4,2,4,1
0133,1,4,3,4,1
0134,1,4,3,4,1
0136,1,4,1,3,1
0137,1,2,1,1,2
0142,1,1,1,2,2
0143,1,4,2,2,1
0144,1,1,2,2,2
0145,1,3,2,1,2
0147,1,4,2,1,1
0149,1,2,2,5,2
0150,1,1,2,2,2
0151,1,4,2,5,1
0155,1,1,2,2,2
0157,1,1,2,2,2
0159,1,1,2,3,2
0161,1,3,2,1,2
0168,1,4,2,4,1
0169,1,4,1,3,1
0171,1,4,2,4,1
0175,1,1,2,4,2
0176,1,4,2,4,1
0177,1,3,2,2,2
0178,1,1,2,3,2
0179,1,3,2,2,2
0180,1,4,2,3,1
0183,1,2,1,2,2
0184,1,4,1,5,1
0185,1,4,1,3,1
0187,1,4,1,4,1
0188,1,2,1,1,2
0189,1,2,2,2,2
0190,1,4,2,2,1
0192,1,4,2,4,1
0194,1,4,1,4,1
0195,1,4,1,3,1
0196,1,1,1,2,2
0197,1,1,1,2,2
0200,1,3,2,1,2
0201,1,1,2,2,2
0202,1,3,2,1,2
0204,1,4,1,4,1
0206,1,4,1,2,1
0207,1,4,3,5,1
