id,wave,agegrp,age,piat,agegrp.c,age.c
4,1,6.5,6,18,0,-0.5
4,2,8.5,8.5,31,2,2
4,3,10.5,10.666667,50,4,4.1666667
27,1,6.5,6.25,19,0,-0.25
27,2,8.5,9.166667,36,2,2.6666667
27,3,10.5,10.916667,57,4,4.4166667
31,1,6.5,6.333333,18,0,-0.1666667
31,2,8.5,8.833333,31,2,2.3333333
31,3,10.5,10.916667,51,4,4.4166667
33,1,6.5,6.333333,18,0,-0.1666667
33,2,8.5,8.916667,34,2,2.4166667
33,3,10.5,10.75,29,4,4.25
41,1,6.5,6.333333,18,0,-0.1666667
41,2,8.5,8.75,28,2,2.25
41,3,10.5,10.833333,36,4,4.3333333
49,1,6.5,6.5,19,0,0
49,2,8.5,8.75,32,2,2.25
49,3,10.5,10.666667,48,4,4.1666667
69,1,6.5,6.666667,26,0,0.1666667
69,2,8.5,9.166667,47,2,2.6666667
69,3,10.5,11.333333,45,4,4.8333333
77,1,6.5,6.833333,17,0,0.3333333
77,2,8.5,8.083333,19,2,1.5833333
77,3,10.5,10,28,4,3.5
87,1,6.5,6.916667,22,0,0.4166667
87,2,8.5,9.416667,49,2,2.9166667
87,3,10.5,11.5,64,4,5
